Date;Open;High;Low;Close;Buy
21/03/2022 00:00;2380000000;2390000000;2330000000;2360000000;Yes
22/03/2022 00:00;2380000000;2560000000;2370000000;2550000000;No
23/03/2022 00:00;2550000000;2560000000;2460000000;2500000000;Yes
24/03/2022 00:00;2600000000;2650000000;2540000000;2640000000;No
25/03/2022 00:00;2660000000;2690000000;2610000000;2660000000;No
28/03/2022 00:00;2650000000;2660000000;2590000000;2630000000;No
29/03/2022 00:00;2590000000;2600000000;2510000000;2530000000;Yes
30/03/2022 00:00;2530000000;2570000000;2470000000;2510000000;Yes
31/03/2022 00:00;2530000000;2540000000;2430000000;2440000000;Yes
01/04/2022 00:00;2450000000;2550000000;2420000000;2510000000;Yes
04/04/2022 00:00;2530000000;2650000000;2520000000;2640000000;No
05/04/2022 00:00;2630000000;2700000000;2610000000;2670000000;No
06/04/2022 00:00;2670000000;2690000000;2640000000;2650000000;No
07/04/2022 00:00;2670000000;2820000000;2660000000;2760000000;No
08/04/2022 00:00;2790000000;2820000000;2740000000;2800000000;No
11/04/2022 00:00;2800000000;2810000000;2630000000;2630000000;Yes
12/04/2022 00:00;2620000000;2680000000;2580000000;2670000000;Yes
13/04/2022 00:00;2690000000;2800000000;2670000000;2790000000;No
14/04/2022 00:00;2790000000;2870000000;2750000000;2780000000;No
18/04/2022 00:00;2800000000;2930000000;2790000000;2900000000;No
19/04/2022 00:00;2910000000;2940000000;2830000000;2850000000;No
20/04/2022 00:00;2880000000;2880000000;2740000000;2820000000;No
21/04/2022 00:00;2830000000;2840000000;2760000000;2790000000;No
22/04/2022 00:00;2770000000;2810000000;2740000000;2740000000;No
25/04/2022 00:00;2690000000;2700000000;2600000000;2620000000;Yes
26/04/2022 00:00;2630000000;2640000000;2450000000;2500000000;Yes
27/04/2022 00:00;2500000000;2610000000;2500000000;2560000000;Yes
28/04/2022 00:00;2580000000;2650000000;2570000000;2600000000;No
09/05/2022 00:00;2500000000;2550000000;2460000000;2530000000;No
10/05/2022 00:00;2470000000;2490000000;2360000000;2420000000;Yes
11/05/2022 00:00;2420000000;2530000000;2400000000;2400000000;Yes
12/05/2022 00:00;2400000000;2460000000;2290000000;2330000000;Yes
